song_title,album_name
TheLastTime_TaylorsVersion_,Red_TaylorsVersion__TheSlowMotionChapter
AllTooWell_10MinuteVersion__TaylorsVersion__FromtheVault_,Red_TaylorsVersion__TheSlowMotionChapter
ComeBack___BeHere_TaylorsVersion_,Red_TaylorsVersion__TheSlowMotionChapter
SadBeautifulTragic_TaylorsVersion_,Red_TaylorsVersion__TheSlowMotionChapter
TheMomentIKnew_TaylorsVersion_,Red_TaylorsVersion__TheSlowMotionChapter
DancingWithOurHandsTied,Reputation
Delicate,Reputation
NewYearsDay,Reputation
Gorgeous,Reputation
WhySheDisappeared_Poem_,Reputation
CallItWhatYouWant,Reputation
IfYoureAnythingLikeMe_Poem_,Reputation
EndGame,Reputation
Reputation_Prologue_,Reputation
LookWhatYouMadeMeDo,Reputation
GetawayCar,Reputation
IDidSomethingBad,Reputation
___ReadyforIt_,Reputation
ReputationMagazineVol_1,Reputation
Dress,Reputation
KingofMyHeart,Reputation
ThisIsWhyWeCantHaveNiceThings,Reputation
SoItGoes___,Reputation
DontBlameMe,Reputation
BetterThanRevenge,SpeakNow
LastKiss,SpeakNow
Innocent,SpeakNow
SparksFly,SpeakNow
DearJohn,SpeakNow
Mine,SpeakNow
NeverGrowUp,SpeakNow
SpeakNow,SpeakNow
LongLive,SpeakNow
Mean,SpeakNow
TheStoryOfUs,SpeakNow
Haunted,SpeakNow
BacktoDecember,SpeakNow
Enchanted,SpeakNow
TheStoryOfUs,SpeakNow_Deluxe_
SparksFly,SpeakNow_Deluxe_
DearJohn,SpeakNow_Deluxe_
Mean,SpeakNow_Deluxe_
BackToDecember_Acoustic_,SpeakNow_Deluxe_
Enchanted,SpeakNow_Deluxe_
Haunted,SpeakNow_Deluxe_
NeverGrowUp,SpeakNow_Deluxe_
Mine,SpeakNow_Deluxe_
Innocent,SpeakNow_Deluxe_
Haunted_AcousticVersion_,SpeakNow_Deluxe_
Ours,SpeakNow_Deluxe_
Mine_PopMix_,SpeakNow_Deluxe_
BacktoDecember,SpeakNow_Deluxe_
LongLive,SpeakNow_Deluxe_
SpeakNow,SpeakNow_Deluxe_
Superman,SpeakNow_Deluxe_
IfThisWasaMovie,SpeakNow_Deluxe_
LastKiss,SpeakNow_Deluxe_
BetterThanRevenge,SpeakNow_Deluxe_
DoppelGospel,SpeakNow_WorldTourLive
PackKevorkian,SpeakNow_WorldTourLive
NyBushmen,SpeakNow_WorldTourLive
Rap_Unemployment,SpeakNow_WorldTourLive
GetEm,SpeakNow_WorldTourLive
AtNight,SpeakNow_WorldTourLive
Suppository,SpeakNow_WorldTourLive
WenchRench,SpeakNow_WorldTourLive
TheGods,SpeakNow_WorldTourLive
Nexium,SpeakNow_WorldTourLive
HappyFace,SpeakNow_WorldTourLive
LikeWhatLikeMe,SpeakNow_WorldTourLive
DumpsterDiving,SpeakNow_WorldTourLive
Lush,SpeakNow_WorldTourLive
TeardropsOnMyGuitar,TaylorSwift
APerfectlyGoodHeart,TaylorSwift
ColdasYou,TaylorSwift
TheOutside,TaylorSwift
Invisible,TaylorSwift
ImOnlyMeWhenImWithYou,TaylorSwift
ShouldveSaidNo,TaylorSwift
APlaceInThisWorld,TaylorSwift
MarysSong_OhMyMyMy_,TaylorSwift
PicturetoBurn,TaylorSwift
StayBeautiful,TaylorSwift
TimMcGraw,TaylorSwift
OurSong,TaylorSwift
TeardropsonMyGuitar_PopVersion_,TaylorSwift
TaylorSwift_LinerNotes_,TaylorSwift
TiedTogetherwithaSmile,TaylorSwift
Fearless_TaylorsVersion_,TheMoreFearless_TaylorsVersion_Chapter
IfThisWasaMovie_TaylorsVersion_,TheMoreFearless_TaylorsVersion_Chapter
WhiteHorse_TaylorsVersion_,TheMoreFearless_TaylorsVersion_Chapter
YouBelongWithMe_TaylorsVersion_,TheMoreFearless_TaylorsVersion_Chapter
LoveStory_TaylorsVersion_,TheMoreFearless_TaylorsVersion_Chapter
AllOfTheGirlsYouLovedBefore,TheMoreLoverChapter
TheArcher,TheMoreLoverChapter
CruelSummer,TheMoreLoverChapter
Lover,TheMoreLoverChapter
TheMan,TheMoreLoverChapter
Safe_Sound_TaylorsVersion_,TheMoreRed_TaylorsVersion_Chapter
22_TaylorsVersion_,TheMoreRed_TaylorsVersion_Chapter
WeAreNeverEverGettingBackTogether_TaylorsVersion_,TheMoreRed_TaylorsVersion_Chapter
IKnewYouWereTrouble_TaylorsVersion_,TheMoreRed_TaylorsVersion_Chapter
AllTooWell_10MinuteVersion__TaylorsVersion__FromtheVault_,TheMoreRed_TaylorsVersion_Chapter
EyesOpen_TaylorsVersion_,TheMoreRed_TaylorsVersion_Chapter
coneyisland,evermore_JapaneseEdition_
champagneproblems,evermore_JapaneseEdition_
ivy,evermore_JapaneseEdition_
tisthedamnseason,evermore_JapaneseEdition_
longstoryshort,evermore_JapaneseEdition_
willow,evermore_JapaneseEdition_
marjorie,evermore_JapaneseEdition_
cowboylikeme,evermore_JapaneseEdition_
willow_lonelywitchversion_,evermore_JapaneseEdition_
goldrush,evermore_JapaneseEdition_
rightwhereyouleftme,evermore_JapaneseEdition_
evermore,evermore_JapaneseEdition_
itstimetogo,evermore_JapaneseEdition_
tolerateit,evermore_JapaneseEdition_
willow_dancingwitchversion__ElviraRemix_,evermore_JapaneseEdition_
happiness,evermore_JapaneseEdition_
nobody_nocrime,evermore_JapaneseEdition_
closure,evermore_JapaneseEdition_
dorothea,evermore_JapaneseEdition_
longstoryshort,evermore_deluxeversion_
rightwhereyouleftme,evermore_deluxeversion_
coneyisland,evermore_deluxeversion_
closure,evermore_deluxeversion_
marjorie,evermore_deluxeversion_
tisthedamnseason,evermore_deluxeversion_
ivy,evermore_deluxeversion_
itstimetogo,evermore_deluxeversion_
nobody_nocrime,evermore_deluxeversion_
goldrush,evermore_deluxeversion_
happiness,evermore_deluxeversion_
willow,evermore_deluxeversion_
evermore,evermore_deluxeversion_
cowboylikeme,evermore_deluxeversion_
Evermore_LinerNotes_,evermore_deluxeversion_
dorothea,evermore_deluxeversion_
champagneproblems,evermore_deluxeversion_
tolerateit,evermore_deluxeversion_
willow_90_strendremix_,evermore_digitallyautographedfanedition_
goldrush,evermore_digitallyautographedfanedition_
tisthedamnseason,evermore_digitallyautographedfanedition_
ivy,evermore_digitallyautographedfanedition_
rightwhereyouleftme,evermore_digitallyautographedfanedition_
tolerateit,evermore_digitallyautographedfanedition_
willow,evermore_digitallyautographedfanedition_
coneyisland,evermore_digitallyautographedfanedition_
longstoryshort,evermore_digitallyautographedfanedition_
closure,evermore_digitallyautographedfanedition_
itstimetogo,evermore_digitallyautographedfanedition_
champagneproblems,evermore_digitallyautographedfanedition_
evermore,evermore_digitallyautographedfanedition_
marjorie,evermore_digitallyautographedfanedition_
nobody_nocrime,evermore_digitallyautographedfanedition_
dorothea,evermore_digitallyautographedfanedition_
happiness,evermore_digitallyautographedfanedition_
cowboylikeme,evermore_digitallyautographedfanedition_
tolerateit,evermore_thedroppedyourhandwhiledancingchapter
coneyisland,evermore_thedroppedyourhandwhiledancingchapter
itstimetogo,evermore_thedroppedyourhandwhiledancingchapter
champagneproblems,evermore_thedroppedyourhandwhiledancingchapter
happiness,evermore_thedroppedyourhandwhiledancingchapter
hoax,evermore_thedroppedyourhandwhiledancingchapter
evermore,evermore_theforeveristhesweetestconchapter
willow,evermore_theforeveristhesweetestconchapter
invisiblestring,evermore_theforeveristhesweetestconchapter
longstoryshort,evermore_theforeveristhesweetestconchapter
mirrorball,evermore_theforeveristhesweetestconchapter
cowboylikeme,evermore_theforeveristhesweetestconchapter
hoax_thelongpondstudiosessions_,folklore_thelongpondstudiosessions_RecordStoreDayExclusive_
madwoman_thelongpondstudiosessions_,folklore_thelongpondstudiosessions_RecordStoreDayExclusive_
peace_thelongpondstudiosessions_,folklore_thelongpondstudiosessions_RecordStoreDayExclusive_
mytearsricochet_thelongpondstudiosessions_,folklore_thelongpondstudiosessions_RecordStoreDayExclusive_
illicitaffairs_thelongpondstudiosessions_,folklore_thelongpondstudiosessions_RecordStoreDayExclusive_
thisismetrying_thelongpondstudiosessions_,folklore_thelongpondstudiosessions_RecordStoreDayExclusive_
exile_thelongpondstudiosessions_,folklore_thelongpondstudiosessions_RecordStoreDayExclusive_
mirrorball_thelongpondstudiosessions_,folklore_thelongpondstudiosessions_RecordStoreDayExclusive_
thelakes_thelongpondstudiosessions_,folklore_thelongpondstudiosessions_RecordStoreDayExclusive_
seven_thelongpondstudiosessions_,folklore_thelongpondstudiosessions_RecordStoreDayExclusive_
thelastgreatamericandynasty_thelongpondstudiosessions_,folklore_thelongpondstudiosessions_RecordStoreDayExclusive_
epiphany_thelongpondstudiosessions_,folklore_thelongpondstudiosessions_RecordStoreDayExclusive_
august_thelongpondstudiosessions_,folklore_thelongpondstudiosessions_RecordStoreDayExclusive_
the1_thelongpondstudiosessions_,folklore_thelongpondstudiosessions_RecordStoreDayExclusive_
invisiblestring_thelongpondstudiosessions_,folklore_thelongpondstudiosessions_RecordStoreDayExclusive_
betty_thelongpondstudiosessions_,folklore_thelongpondstudiosessions_RecordStoreDayExclusive_
cardigan_thelongpondstudiosessions_,folklore_thelongpondstudiosessions_RecordStoreDayExclusive_
august,theladieslunchingchapter
nobody_nocrime,theladieslunchingchapter
rightwhereyouleftme,theladieslunchingchapter
marjorie,theladieslunchingchapter
betty,theladieslunchingchapter
dorothea,theladieslunchingchapter
thelakes_originalversion_,thelakes_7_Single_RecordStoreDayExclusive_
thelakes,thelakes_7_Single_RecordStoreDayExclusive_
